Site,Treatment,Repetition,Nummer,mSoil_Olsen(g),mSoil_H2O(g),Abs_labile(1),Abs_Olsen(1),Abs_Olsen1_10(1),t(min),Abs(1),Pv_labile(mg/L),Pv_Olsen(mg/L),Pv_Olsen1_10(mg/L),Pv(mg/L),Dilution(1),V_H2O(L)
Cadenazzo,0P,2.00,1.00,10.05,10.31,0.26,1.02,0.28,5.00,0.21,0.05,0.35,0.46,0.03,20.00,0.20
Cadenazzo,0P,2.00,1.00,10.05,10.31,0.26,1.02,0.28,10.00,0.22,0.05,0.35,0.46,0.04,20.00,0.20
Cadenazzo,0P,2.00,1.00,10.05,10.31,0.26,1.02,0.28,20.00,0.23,0.05,0.35,0.46,0.04,20.00,0.20
Cadenazzo,0P,2.00,1.00,10.05,10.31,0.26,1.02,0.28,30.00,0.24,0.05,0.35,0.46,0.05,20.00,0.20
Cadenazzo,0P,2.00,1.00,10.05,10.31,0.26,1.02,0.28,45.00,0.26,0.05,0.35,0.46,0.05,20.00,0.20
Cadenazzo,0P,2.00,1.00,10.05,10.31,0.26,1.02,0.28,60.00,0.25,0.05,0.35,0.46,0.05,20.00,0.20
Cadenazzo,0P,1.00,2.00,10.10,10.30,0.28,1.17,0.32,5.00,0.22,0.06,0.42,0.65,0.04,20.00,0.20
Cadenazzo,0P,1.00,2.00,10.10,10.30,0.28,1.17,0.32,10.00,0.24,0.06,0.42,0.65,0.05,20.00,0.20
Cadenazzo,0P,1.00,2.00,10.10,10.30,0.28,1.17,0.32,20.00,0.25,0.06,0.42,0.65,0.05,20.00,0.20
Cadenazzo,0P,1.00,2.00,10.10,10.30,0.28,1.17,0.32,30.00,0.27,0.06,0.42,0.65,0.06,20.00,0.20
Cadenazzo,0P,1.00,2.00,10.10,10.30,0.28,1.17,0.32,45.00,0.30,0.06,0.42,0.65,0.07,20.00,0.20
Cadenazzo,0P,1.00,2.00,10.10,10.30,0.28,1.17,0.32,60.00,0.28,0.06,0.42,0.65,0.06,20.00,0.20
Cadenazzo,166P,1.00,3.00,9.99,10.01,1.07,2.68,0.58,5.00,0.49,0.38,1.04,1.73,0.15,20.00,0.20
Cadenazzo,166P,1.00,3.00,9.99,10.01,1.07,2.68,0.58,10.00,0.57,0.38,1.04,1.73,0.18,20.00,0.20
Cadenazzo,166P,1.00,3.00,9.99,10.01,1.07,2.68,0.58,20.00,0.67,0.38,1.04,1.73,0.22,20.00,0.20
Cadenazzo,166P,1.00,3.00,9.99,10.01,1.07,2.68,0.58,30.00,0.73,0.38,1.04,1.73,0.24,20.00,0.20
Cadenazzo,166P,1.00,3.00,9.99,10.01,1.07,2.68,0.58,45.00,0.79,0.38,1.04,1.73,0.27,20.00,0.20
Cadenazzo,166P,1.00,3.00,9.99,10.01,1.07,2.68,0.58,60.00,0.83,0.38,1.04,1.73,0.28,20.00,0.20
Cadenazzo,166P,2.00,4.00,10.20,10.04,0.74,2.41,0.53,5.00,0.41,0.24,0.93,1.53,0.11,20.00,0.20
Cadenazzo,166P,2.00,4.00,10.20,10.04,0.74,2.41,0.53,10.00,0.49,0.24,0.93,1.53,0.15,20.00,0.20
Cadenazzo,166P,2.00,4.00,10.20,10.04,0.74,2.41,0.53,20.00,0.57,0.24,0.93,1.53,0.18,20.00,0.20
Cadenazzo,166P,2.00,4.00,10.20,10.04,0.74,2.41,0.53,30.00,0.52,0.24,0.93,1.53,0.16,20.00,0.20
Cadenazzo,166P,2.00,4.00,10.20,10.04,0.74,2.41,0.53,45.00,0.64,0.24,0.93,1.53,0.21,20.00,0.20
Cadenazzo,166P,2.00,4.00,10.20,10.04,0.74,2.41,0.53,60.00,0.67,0.24,0.93,1.53,0.22,20.00,0.20
Rümlang,0P,1.00,1.00,n.a.,10.10,0.37,1.25,n.a.,5.00,0.75,0.21,0.30,n.a.,0.21,20.00,0.20
Rümlang,0P,1.00,1.00,n.a.,10.10,0.37,1.25,n.a.,10.00,0.79,0.22,0.30,n.a.,0.22,20.00,0.20
